"","Isolate","Accession","Instrument","Study","Source category","Facility","Assembly length (bp)","Number of contigs","N50","Coverage","Species","Sequence type"
"25","PCMP_H140","SRR10116510","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5554354,62,219263,133.182,"Klebsiella pneumoniae","ST258"
"26","PCMP_H142","SRR10116507","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5416706,58,260242,141.757,"Klebsiella pneumoniae","ST258"
"27","PCMP_H143","SRR10116506","Illumina HiSeq 2500","2014-15","Urine","LTACH 11",5690382,87,244866,198.035,"Klebsiella pneumoniae","ST258"
"28","PCMP_H13","SRR10116530","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5627803,69,269763,206.301,"Klebsiella pneumoniae","ST258"
"29","PCMP_H306","SRR10116677","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5723637,63,231093,144.704,"Klebsiella pneumoniae","ST258"
"30","PCMP_H146","SRR10116503","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5647251,62,270452,99.3896,"Klebsiella pneumoniae","ST258"
"31","PCMP_H147","SRR10116502","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5677317,86,215222,116.73,"Klebsiella pneumoniae","ST258"
"32","PCMP_H148","SRR10116501","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5392414,55,270452,73.5734,"Klebsiella pneumoniae","ST258"
"33","PCMP_H220","SRR10116423","Illumina HiSeq 2500","2014-15","Blood","LTACH 13",5353528,49,270408,84.7864,"Klebsiella pneumoniae","ST258"
"34","PCMP_H149","SRR10116500","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5555718,72,270819,157.319,"Klebsiella pneumoniae","ST258"
"35","PCMP_H150","SRR10116499","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5393217,53,270453,133.042,"Klebsiella pneumoniae","ST258"
"36","PCMP_H151","SRR10116498","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5448546,63,218027,205.19,"Klebsiella pneumoniae","ST258"
"37","PCMP_H323","SRR10116657","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5363556,46,270452,165.35,"Klebsiella pneumoniae","ST258"
"38","PCMP_H152","SRR10116496","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5367638,50,260246,54.6773,"Klebsiella pneumoniae","ST258"
"39","PCMP_H153","SRR10116495","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5367314,53,260246,54.1157,"Klebsiella pneumoniae","ST258"
"40","PCMP_H207","SRR10116437","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5365352,50,260242,183.146,"Klebsiella pneumoniae","ST258"
"41","PCMP_H154","SRR10116494","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5621248,68,269763,117.677,"Klebsiella pneumoniae","ST258"
"42","PCMP_H14","SRR10116519","Illumina HiSeq 2500","2014-15","Wound","LTACH 1",5644523,72,218218,148.086,"Klebsiella pneumoniae","ST258"
"43","PCMP_H157","SRR10116491","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5410934,61,270799,180.032,"Klebsiella pneumoniae","ST258"
"44","PCMP_H158","SRR10116490","Illumina HiSeq 2500","2014-15","Urine","LTACH 2",5413948,59,270412,134.601,"Klebsiella pneumoniae","ST258"
"45","PCMP_H412","SRR10116561","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5492474,72,270819,39.8719,"Klebsiella pneumoniae","ST258"
"46","PCMP_H159","SRR10116489","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 8",5567224,59,270498,137.496,"Klebsiella pneumoniae","ST258"
"47","PCMP_H160","SRR10116488","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5762284,71,225025,147.712,"Klebsiella pneumoniae","ST258"
"48","PCMP_H162","SRR10116485","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5390717,49,323232,172.685,"Klebsiella pneumoniae","ST258"
"49","PCMP_H163","SRR10116484","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5581087,64,237760,158.842,"Klebsiella pneumoniae","ST258"
"50","PCMP_H164","SRR10116483","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5601316,72,198669,162.683,"Klebsiella pneumoniae","ST15"
"51","PCMP_H314","SRR10116668","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5714215,99,158995,183.515,"Klebsiella pneumoniae","ST258"
"52","PCMP_H165","SRR10116482","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5827563,90,270194,168.186,"Klebsiella pneumoniae","ST258"
"53","PCMP_H166","SRR10116481","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5415387,55,270819,136.036,"Klebsiella pneumoniae","ST258"
"54","PCMP_H15","SRR10116508","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5588898,78,270452,118.849,"Klebsiella pneumoniae","ST258"
"55","PCMP_H169","SRR10116478","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5687196,93,242727,121.086,"Klebsiella pneumoniae","ST258"
"56","PCMP_H170","SRR10116477","Illumina HiSeq 2500","2014-15","Blood","LTACH 12",5392085,51,270452,168.739,"Klebsiella pneumoniae","ST258"
"57","PCMP_H171","SRR10116476","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5737518,72,253587,135.803,"Klebsiella pneumoniae","ST258"
"58","PCMP_H172","SRR10116474","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5414094,59,270819,154.894,"Klebsiella pneumoniae","ST258"
"59","PCMP_H173","SRR10116473","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5306844,54,302661,166.514,"Klebsiella pneumoniae","ST258"
"60","PCMP_H174","SRR10116472","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5413068,57,270864,161.621,"Klebsiella pneumoniae","ST258"
"61","PCMP_H208","SRR10116436","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5413368,62,270864,163.996,"Klebsiella pneumoniae","ST258"
"62","PCMP_H176","SRR10116470","Illumina HiSeq 2500","2014-15","Blood","LTACH 5",6077226,102,208675,148.786,"Klebsiella pneumoniae","ST258"
"63","PCMP_H177","SRR10116469","Illumina HiSeq 2500","2014-15","Urine","LTACH 8",5692994,80,179389,141.257,"Klebsiella pneumoniae","ST258"
"64","PCMP_H179","SRR10116467","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5951745,86,270498,155.057,"Klebsiella pneumoniae","ST258"
"65","PCMP_H16","SRR10116497","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5707868,79,237860,104.848,"Klebsiella pneumoniae","ST258"
"66","PCMP_H93","SRR10116733","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5365575,58,220889,140.511,"Klebsiella pneumoniae","ST258"
"67","PCMP_H180","SRR10116466","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5478573,37,471911,92.1317,"Klebsiella pneumoniae","ST193"
"68","PCMP_H182","SRR10116463","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5830075,81,220318,99.8614,"Klebsiella pneumoniae","ST258"
"69","PCMP_H183","SRR10116462","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5809201,91,269699,107.15,"Klebsiella pneumoniae","ST258"
"70","PCMP_H184","SRR10116461","Illumina HiSeq 2500","2014-15","Blood","LTACH 8",5667246,60,225025,120.944,"Klebsiella pneumoniae","ST258"
"71","PCMP_H185","SRR10116460","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5519022,58,284054,58.6016,"Klebsiella pneumoniae","ST1832"
"72","PCMP_H186","SRR10116459","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5533931,66,238326,136.592,"Klebsiella pneumoniae","ST258"
"73","PCMP_H187","SRR10116458","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5378992,47,271294,79.9945,"Klebsiella pneumoniae","ST258"
"74","PCMP_H249","SRR10116392","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5520846,78,203933,118.675,"Klebsiella pneumoniae","ST258"
"75","PCMP_H17","SRR10116486","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5790791,87,203931,111.143,"Klebsiella pneumoniae","ST258"
"76","PCMP_H191","SRR10116454","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5410692,64,271294,71.9965,"Klebsiella pneumoniae","ST258"
"77","PCMP_H192","SRR10116452","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5608341,67,270193,120.928,"Klebsiella pneumoniae","ST258"
"78","PCMP_H193","SRR10116451","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5392909,71,177698,83.835,"Klebsiella pneumoniae","ST258"
"79","PCMP_H194","SRR10116450","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5697095,91,196228,94.1939,"Klebsiella pneumoniae","ST258"
"80","PCMP_H195","SRR10116449","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5405017,52,270452,143.767,"Klebsiella pneumoniae","ST258"
"81","PCMP_H196","SRR10116448","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5453054,61,271294,144.279,"Klebsiella pneumoniae","ST258"
"82","PCMP_H197","SRR10116447","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5966817,92,225270,96.0974,"Klebsiella pneumoniae","ST258"
"83","PCMP_H198","SRR10116446","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5609752,85,172645,93.4411,"Klebsiella pneumoniae","ST258"
"84","PCMP_H199","SRR10116445","Illumina HiSeq 2500","2014-15","Urine","LTACH 8",5940985,148,96134,108.815,"Klebsiella pneumoniae","ST258"
"85","PCMP_H200","SRR10116444","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5854589,83,210968,157.004,"Klebsiella pneumoniae","ST258"
"86","PCMP_H201","SRR10116443","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5683907,70,270819,78.6006,"Klebsiella pneumoniae","ST258"
"87","PCMP_H202","SRR10116441","Illumina HiSeq 2500","2014-15","Urine","LTACH 8",5980360,99,225553,178.84,"Klebsiella pneumoniae","ST258"
"88","PCMP_H204","SRR10116440","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 8",5916864,116,135399,111.921,"Klebsiella pneumoniae","ST258"
"89","PCMP_H205","SRR10116439","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 9",5588352,67,269715,153.337,"Klebsiella pneumoniae","ST258"
"90","PCMP_H206","SRR10116438","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5723085,90,234019,144.315,"Klebsiella pneumoniae","ST258"
"91","PCMP_H209","SRR10116435","Illumina HiSeq 2500","2014-15","Urine","LTACH 8",5918446,93,229914,102.392,"Klebsiella pneumoniae","ST258"
"92","PCMP_H210","SRR10116434","Illumina HiSeq 2500","2014-15","Urine","LTACH 8",5497561,86,156774,104.084,"Klebsiella pneumoniae","ST258"
"93","PCMP_H212","SRR10116432","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5522838,72,218029,368.525,"Klebsiella pneumoniae","ST258"
"94","PCMP_H213","SRR10116429","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5852720,93,215169,199.26,"Klebsiella pneumoniae","ST258"
"95","PCMP_H385","SRR10116591","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5850110,94,215169,131.607,"Klebsiella pneumoniae","ST258"
"96","PCMP_H214","SRR10116428","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",6040571,100,197839,119.976,"Klebsiella pneumoniae","ST258"
"97","PCMP_H215","SRR10116427","Illumina HiSeq 2500","2014-15","Blood","LTACH 12",5391998,55,315262,77.3706,"Klebsiella pneumoniae","ST258"
"98","PCMP_H218","SRR10116425","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5584564,75,237860,74.3279,"Klebsiella pneumoniae","ST258"
"99","PCMP_H219","SRR10116424","Illumina HiSeq 2500","2014-15","Wound","LTACH 7",5483792,66,237759,56.3416,"Klebsiella pneumoniae","ST258"
"100","PCMP_H221","SRR10116422","Illumina HiSeq 2500","2014-15","Blood","LTACH 5",5530018,81,203910,40.8518,"Klebsiella pneumoniae","ST258"
"101","PCMP_H222","SRR10116421","Illumina HiSeq 2500","2014-15","Urine","LTACH 7",5678326,80,203919,62.0705,"Klebsiella pneumoniae","ST258"
"102","PCMP_H311","SRR10116671","Illumina HiSeq 2500","2014-15","Blood","LTACH 7",5610735,73,271295,120.509,"Klebsiella pneumoniae","ST258"
"103","PCMP_H224","SRR10116418","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5391295,53,323239,122.761,"Klebsiella pneumoniae","ST258"
"104","PCMP_H225","SRR10116417","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5412518,58,270452,141.009,"Klebsiella pneumoniae","ST258"
"105","PCMP_H226","SRR10116416","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5736894,98,203931,124.925,"Klebsiella pneumoniae","ST258"
"106","PCMP_H227","SRR10116415","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5686858,78,234019,144.961,"Klebsiella pneumoniae","ST258"
"107","PCMP_H229","SRR10116413","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5593110,76,270452,217.231,"Klebsiella pneumoniae","ST258"
"108","PCMP_H230","SRR10116412","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5403732,55,218102,86.6297,"Klebsiella pneumoniae","ST258"
"109","PCMP_H231","SRR10116411","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5323287,58,270452,92.4397,"Klebsiella pneumoniae","ST258"
"110","PCMP_H232","SRR10116410","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5405157,53,269463,158.896,"Klebsiella pneumoniae","ST258"
"111","PCMP_H233","SRR10116409","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5695867,83,237852,108.903,"Klebsiella pneumoniae","ST258"
"112","PCMP_H234","SRR10116407","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5540915,81,225105,96.0628,"Klebsiella pneumoniae","ST258"
"113","PCMP_H235","SRR10116406","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5824609,97,220207,142.275,"Klebsiella pneumoniae","ST258"
"114","PCMP_H237","SRR10116404","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5842008,87,210968,143.131,"Klebsiella pneumoniae","ST258"
"115","PCMP_H238","SRR10116403","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5591152,77,237860,101.045,"Klebsiella pneumoniae","ST258"
"116","PCMP_H349","SRR10116629","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5434425,165,265531,122.178,"Klebsiella pneumoniae","ST258"
"117","PCMP_H239","SRR10116402","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5696991,80,237852,241.679,"Klebsiella pneumoniae","ST258"
"118","PCMP_H247","SRR10116394","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5694104,81,237759,233.504,"Klebsiella pneumoniae","ST258"
"119","PCMP_H22","SRR10116442","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5693943,77,237852,164.005,"Klebsiella pneumoniae","ST258"
"120","PCMP_H250","SRR10116391","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5368037,59,237760,90.0446,"Klebsiella pneumoniae","ST258"
"121","PCMP_H403","SRR10116571","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5373605,64,175727,72.0355,"Klebsiella pneumoniae","ST418"
"122","PCMP_H251","SRR10116390","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5685097,95,203931,93.6663,"Klebsiella pneumoniae","ST258"
"123","PCMP_H409","SRR10116564","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5700538,89,234019,65.0584,"Klebsiella pneumoniae","ST258"
"124","PCMP_H252","SRR10116389","Illumina HiSeq 2500","2014-15","Blood","LTACH 7",5676795,70,269699,117.491,"Klebsiella pneumoniae","ST258"
"125","PCMP_H253","SRR10116388","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5452284,57,271294,214.487,"Klebsiella pneumoniae","ST258"
"126","PCMP_H254","SRR10116387","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5392814,54,323239,115.846,"Klebsiella pneumoniae","ST258"
"127","PCMP_H255","SRR10116385","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5412208,65,270452,76.8393,"Klebsiella pneumoniae","ST258"
"128","PCMP_H256","SRR10116384","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5706424,71,233716,162.588,"Klebsiella pneumoniae","ST258"
"129","PCMP_H257","SRR10116383","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5534577,69,224374,132.127,"Klebsiella pneumoniae","ST258"
"130","PCMP_H258","SRR10116382","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5612093,86,252217,86.2285,"Klebsiella pneumoniae","ST258"
"131","PCMP_H259","SRR10116381","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5663134,82,214452,70.3336,"Klebsiella pneumoniae","ST258"
"132","PCMP_H23","SRR10116430","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5391569,50,323232,730.634,"Klebsiella pneumoniae","ST258"
"133","PCMP_H260","SRR10116380","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5641918,82,260152,100.544,"Klebsiella pneumoniae","ST36"
"134","PCMP_H304","SRR10116679","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5592062,49,345339,190.298,"Klebsiella pneumoniae","ST36"
"135","PCMP_H261","SRR10116379","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5412144,64,269738,54.755,"Klebsiella pneumoniae","ST258"
"136","PCMP_H262","SRR10116378","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5608458,83,149743,79.2018,"Klebsiella pneumoniae","ST258"
"137","PCMP_H264","SRR10116377","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5691891,89,225279,83.7206,"Klebsiella pneumoniae","ST258"
"138","PCMP_H265","SRR10116376","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5532823,75,223215,76.3912,"Klebsiella pneumoniae","ST258"
"139","PCMP_H266","SRR10116374","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5651392,62,270452,147.157,"Klebsiella pneumoniae","ST258"
"140","PCMP_H331","SRR10116648","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5657105,80,234019,91.5459,"Klebsiella pneumoniae","ST258"
"141","PCMP_H267","SRR10116373","Illumina HiSeq 2500","2014-15","Urine","LTACH 7",5818788,101,204348,89.8894,"Klebsiella pneumoniae","ST258"
"142","PCMP_H268","SRR10116372","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5971746,101,270193,96.2198,"Klebsiella pneumoniae","ST258"
"143","PCMP_H272","SRR10116713","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5972487,91,270467,81.7189,"Klebsiella pneumoniae","ST258"
"144","PCMP_H319","SRR10116661","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5927497,83,270467,84.4606,"Klebsiella pneumoniae","ST258"
"145","PCMP_H24","SRR10116419","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5751494,70,208256,234.482,"Klebsiella pneumoniae","ST15"
"146","PCMP_H273","SRR10116712","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5598922,70,209473,58.0872,"Klebsiella pneumoniae","ST258"
"147","PCMP_H274","SRR10116711","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5684612,75,212487,72.27,"Klebsiella pneumoniae","ST258"
"148","PCMP_H275","SRR10116710","Illumina HiSeq 2500","2014-15","Blood","LTACH 4",5706419,88,214732,60.7966,"Klebsiella pneumoniae","ST258"
"149","PCMP_H276","SRR10116708","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5416180,60,270819,49.9274,"Klebsiella pneumoniae","ST258"
"150","PCMP_H281","SRR10116704","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5405871,50,270452,144.044,"Klebsiella pneumoniae","ST258"
"151","PCMP_H282","SRR10116703","Illumina HiSeq 2500","2014-15","Urine","LTACH 2",5254798,65,177712,92.5168,"Klebsiella pneumoniae","ST258"
"152","PCMP_H283","SRR10116702","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5818175,90,220890,167.177,"Klebsiella pneumoniae","ST258"
"153","PCMP_H284","SRR10116701","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 8",5989316,98,219057,606.482,"Klebsiella pneumoniae","ST258"
"154","PCMP_H286","SRR10116699","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5853471,90,231105,92.7849,"Klebsiella pneumoniae","ST258"
"155","PCMP_H387","SRR10116589","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5851713,97,214732,109.604,"Klebsiella pneumoniae","ST258"
"156","PCMP_H25","SRR10116408","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5478680,69,185509,676.048,"Klebsiella pneumoniae","ST15-1LV"
"157","PCMP_H102","SRR10116723","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5487011,70,185509,181.694,"Klebsiella pneumoniae","ST15-1LV"
"158","PCMP_H287","SRR10116697","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5365906,49,260242,242.218,"Klebsiella pneumoniae","ST258"
"159","PCMP_H288","SRR10116696","Illumina HiSeq 2500","2014-15","Blood","LTACH 7",5956620,98,213660,110.195,"Klebsiella pneumoniae","ST258"
"160","PCMP_H289","SRR10116695","Illumina HiSeq 2500","2014-15","Urine","LTACH 11",5733078,75,216328,73.3937,"Klebsiella pneumoniae","ST258"
"161","PCMP_H291","SRR10116693","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5417782,57,270454,769.236,"Klebsiella pneumoniae","ST258"
"162","PCMP_H292","SRR10116692","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5451523,55,270819,190.589,"Klebsiella pneumoniae","ST258"
"163","PCMP_H294","SRR10116690","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5955431,101,213660,106.452,"Klebsiella pneumoniae","ST258"
"164","PCMP_H332","SRR10116647","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5961927,103,213660,129.895,"Klebsiella pneumoniae","ST258"
"165","PCMP_H295","SRR10116689","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5848125,105,234019,106.861,"Klebsiella pneumoniae","ST258"
"166","PCMP_H296","SRR10116688","Illumina HiSeq 2500","2014-15","Blood","LTACH 12",5584256,85,218605,101.821,"Klebsiella pneumoniae","ST258"
"167","PCMP_H297","SRR10116686","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5399250,57,260246,86.0588,"Klebsiella pneumoniae","ST258"
"168","PCMP_H298","SRR10116685","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5542374,64,354384,115.497,"Klebsiella pneumoniae","ST17"
"169","PCMP_H26","SRR10116397","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 9",5592723,72,269763,370.014,"Klebsiella pneumoniae","ST258"
"170","PCMP_H299","SRR10116684","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5938844,79,257366,89.8901,"Klebsiella pneumoniae","ST258"
"171","PCMP_H300","SRR10116683","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5676471,75,237852,137.75,"Klebsiella pneumoniae","ST258"
"172","PCMP_H302","SRR10116681","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5956831,99,219343,105.858,"Klebsiella pneumoniae","ST258"
